model,light_strength,ambient_strength,psnr,psnr_std
Pottery_B0CJJ59SLH_BlueHairFairy,5.0,0.15,17.007057498848173,0.6537637757677941
Pottery_B0CJJ59SLH_BlueHairFairy,4.0,0.01,17.149804849711487,1.705663414947503
Pottery_B0CJJ59SLH_BlueHairFairy,4.0,0.15,17.47682858062661,0.6688148626070337
Pottery_B0CJJ59SLH_BlueHairFairy,2.5,0.02,19.668665478044574,2.2477512435100677
Pottery_B0CJJ59SLH_BlueHairFairy,1.0,0.1,12.421035006527772,0.19710258486732157
Pottery_B0CJJ59SLH_BlueHairFairy,1.5,0.2,19.802423058647715,0.5056271489407074
Pottery_B0CJJ59SLH_BlueHairFairy,1.0,0.04,10.978482189553528,0.28639099408031116
Pottery_B0CJJ59SLH_BlueHairFairy,3.0,0.03,19.35523006060046,1.8978845665329171
Pottery_B0CJJ59SLH_BlueHairFairy,2.0,0.15,21.55529031082682,1.0951431456836604
Pottery_B0CJJ59SLH_BlueHairFairy,1.5,0.03,14.31982336065418,0.8165533127937702
Pottery_B0CJJ59SLH_BlueHairFairy,4.0,0.1,17.46228614586703,0.8123387257031555
Pottery_B0CJJ59SLH_BlueHairFairy,3.5,0.25,17.830191090139532,0.6533861290027243
Pottery_B0CJJ59SLH_BlueHairFairy,5.0,0.05,16.762408251425118,1.040969971824994
Pottery_B0CJJ59SLH_BlueHairFairy,1.5,0.01,13.708751873866806,0.9678942972871418
Pottery_B0CJJ59SLH_BlueHairFairy,1.0,0.25,16.503772860448056,0.21919165810856697
Pottery_B0CJJ59SLH_BlueHairFairy,2.5,0.01,19.3968251184019,2.4229270603345907
Pottery_B0CJJ59SLH_BlueHairFairy,1.5,0.15,18.049076990961424,0.5523216052273836
Pottery_B0CJJ59SLH_BlueHairFairy,4.0,0.05,17.37065187556311,1.1505330678420465
Pottery_B0CJJ59SLH_BlueHairFairy,1.5,0.02,14.020294894074443,0.8764867572555808
Pottery_B0CJJ59SLH_BlueHairFairy,1.0,0.03,10.73908516740482,0.3160212051131075
Pottery_B0CJJ59SLH_BlueHairFairy,3.5,0.04,18.109048742648778,1.4245920665702432
